GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
82,1.834943143176051,4719,4719,0.6713119673337687,0.5483068553772201,0.611967206084227,0.1847677521995139,0.49334775428643596,4,2.2504095402506654,4236,4236,0.5373317570327014,0.7011197435277797,0.506456757125819,0.11238426739388505,0.6338014731806028,4,0.4154663970746144
83,3.116669367352272,3771,3771,0.6253162319807637,0.574944368183262,0.6329010289945265,0.08203693292373496,0.5622867405575686,4,2.038713134885348,2711,2711,0.7061323507824504,0.6694796644384565,0.14797791477580513,0.9867456225567555,0.3418689838356005,4,-1.0779562324669238
84,9.186345372194848,1039,1039,0.15246879456740225,-0.1421077214986759,0.15560292908606588,0.12486404231352573,-0.14644379911814065,3,7.8952339841769295,546,546,0.4493461654673391,0.31888788530526924,0.35979835916462344,0.3002610490560943,0.2113100683650299,4,-1.291111388017919
85,6.245651870621603,1309,1309,0.4868109872478329,0.3670814396984714,0.500503629176614,0.1302648314232619,0.3759418644531139,2,6.47158687321306,1633,1633,0.6576645428936936,0.5992809459346464,0.5378087126100175,0.13534044510579196,0.534624468934993,4,0.2259350025914575
86,3.311111070179633,2014,2014,0.5514657350574721,0.6686501305921051,0.5212971004983529,0.03135642672581361,0.5402492452271317,2,2.6654816810385444,3576,3576,0.7007084026825742,0.7750745150530799,0.6119951499708428,0.16882718482878772,0.6258553633075252,4,-0.6456293891410887
87,4.024124502250941,2819,2819,0.40922449513270676,0.38222397980710054,0.4420405796174842,0.10105665446563233,0.32155985136809734,3,4.120978306446019,3607,3607,0.47407470027430954,0.2993904432490988,0.4584862319841001,0.04986270679779686,0.2854302140319712,4,0.09685380419507794
88,1.9289127747946138,3265,3265,0.47168204891704546,0.4289232877396302,0.38257983929544653,0.317815139798337,0.26744122360881895,3,2.0435883601402907,3774,3774,0.576673001609407,0.46710177593942814,0.49652256515403814,0.2483194848838537,0.3772188001380937,4,0.1146755853456769
89,4.870568087975065,3012,3012,0.511363839050611,0.39167820006801746,0.42616557704777747,0.24925796145321438,0.2919159833092853,3,4.361020830679086,3739,3739,0.4717004517782235,0.4982112227435841,0.5173261303542549,0.2989235181125941,0.44340471044265817,4,-0.5095472572959787
90,1.3814708689692927,5365,5365,0.5089470208548752,0.3762200958554316,0.49358577369265005,0.12022745618787739,0.38541898443219164,5,1.1939335995916318,3561,3561,0.5101846966796828,0.4823625644591627,0.45142233471052223,0.2608074527271258,0.4283053211307074,4,-0.1875372693776609
91,10.988075874932727,2113,2113,0.1508665352702745,-0.1215316350183997,0.10635409989312292,0.14208388907903105,-0.10775096908892583,5,11.342546626302852,1789,1789,0.20056084658711293,-0.07605564508080254,0.1281114915209883,0.1343248488992123,-0.16899928746659268,4,0.3544707513701244
92,1.5569115512123994,2632,2632,0.37902660664550236,0.2073089432248596,0.3558767416252347,0.11991101777949241,0.200085808126778,5,1.500174481588477,2312,2312,0.30214317687823367,0.2155830432068908,0.34780003759546724,0.22278412450377427,0.2733725920223402,4,-0.05673706962392244
93,1.5089072967493402,2118,2118,0.39294446644378356,0.2993324330027384,0.4197079507422468,0.12717595392332226,0.3311277614575093,3,1.7432707212659888,2629,2629,0.2996323734074604,0.20369221049748043,0.4975784786241757,0.177007917892574,0.37525678874580537,4,0.2343634245166486
94,3.8943044956998785,2216,2216,0.498728167482414,0.5017752979248941,0.4025538521629466,0.263937426702859,0.4258620267413276,3,2.8499472845568286,1925,1925,0.523971222351526,0.7571526989299592,0.45047114201877214,0.10011907277722867,0.47843994819323016,4,-1.04435721114305
