GCIN,period,n_days,nse,kge,bias_ratio
1070,post,2576,0.08514500761413146,-0.13306964259973286,0.4310344681141362
1070,pre,3157,0.2222105722021791,0.10313052606192374,0.6198211718099944
1081,post,2828,0.12180222807410035,-0.017467407795082934,0.5392369800040874
1081,pre,1790,0.12264726192341047,0.07416004595206271,0.9198945642541964
1092,post,1551,0.11630575567291346,0.004662418208472574,0.6716383124275013
1092,pre,1469,0.25091677644159616,0.26869162207579744,0.9313656190737369
1103,post,3013,0.044212944301688095,-0.26116077675171767,0.3288573523027443
1103,pre,3368,0.11533402300107343,-0.07985595552880964,0.5579491234118087
1114,post,1341,-0.039693330505246927,-0.3752818807343121,0.27133996973665675
1114,pre,790,0.11241854827182174,-0.06054560786131713,0.574579949108561
1125,post,2363,0.11288975966922365,-0.11545995955703137,0.4058570997517507
1125,pre,3921,0.13074352907605002,-0.01949331362221285,0.6554645132804591
1136,post,2308,0.1593094121702926,-0.00951631267281372,0.5485355343629617
1136,pre,2017,0.19701470273459998,0.1437224645549422,0.8300323057869368
1147,post,3421,-0.00363446719556193,-0.1458282234419379,0.9230264686020752
1147,pre,1802,0.05158514039485407,-0.09117771745323178,0.7188897243815097
1158,post,3488,0.31208362252056177,0.46732386934454073,1.1486225372252532
1158,pre,2973,0.26067229244172985,0.4807312334447579,1.135138830368284
1169,post,3718,0.03331226968919743,0.2844508141850949,1.2666548833443858
1169,pre,3656,0.03872398524334042,0.3028892809159177,1.1645738282391458
1180,post,2185,-0.03633127169060901,-0.5494103019626031,0.16186945898075383
1180,pre,2102,-0.014812767982204766,-0.43388836915175366,0.21079169486712138
1181,post,3806,-0.022286529965541035,-0.11112234091253104,0.9591229298419548
1181,pre,2415,0.033853412969201746,-0.07452143901741803,0.8522878399184065
1192,post,3587,0.0569808958850192,0.01383753119487896,0.9338568078313183
1192,pre,3883,0.05236887111559496,0.017066553288802466,0.9426272039730227
1202,post,3700,0.006284488970823676,0.15374961962115774,1.1212602183119433
1202,pre,5821,-0.004696080951362536,0.14052743445257154,1.1419832393033555
1213,post,3656,0.10064573782594566,0.1777514724260928,1.068805894707236
1213,pre,1474,-0.05172263587893733,0.12444359751296075,1.1684329856377123
1224,post,3961,0.30153605759482016,0.4707511391233383,1.166351130563334
1224,pre,5455,0.2517657979266893,0.44236212995874025,1.0905752210304567
1235,post,3915,0.14377737487962405,0.3814358611574563,1.302570079591591
1235,pre,4190,0.1791891126020524,0.3864438455028305,1.134149631544346
1246,post,4105,0.19102589974489914,0.40022162421360596,1.26261088112223
1246,pre,3433,0.23776703710223224,0.4056056918852765,1.0306421408183626
1257,post,4032,0.061534515606858076,0.2834766353520125,1.2270646722307408
1257,pre,4453,0.02365688334516014,0.32148769075470285,1.2118580349999672
1268,post,4239,-0.0333496042143524,0.22301023737650172,1.5064642112849402
1268,pre,6398,0.16381818116503555,0.339140836270006,1.1584025840313728
1279,post,1985,0.3240856093445589,0.5435737693162594,1.051946199763832
1279,pre,800,0.432354196412289,0.55428665369894,1.0403553351050894
1290,post,2665,-0.04405164764579039,-0.488899999775555,0.18512542284787117
1290,pre,2060,-0.01316802798817407,-0.439705909763743,0.13835496327953437
1291,post,1799,0.14381776773319932,0.34915893880959137,1.3702304332639517
1291,pre,618,0.1733514984889476,0.49767437532356473,1.2086788028705462
