pre_epsilon_mean,post_epsilon_mean,delta_epsilon_mean,pre_epsilon_arithmetic_mean,post_epsilon_arithmetic_mean,pre_qobs_valid_days,post_qobs_valid_days,pre_n_recession_days_predicted,post_n_recession_days_predicted,GCIN,fold
0.12289945036172867,0.13858206570148468,0.015682615339756012,0.027597375214099884,0.027862021699547768,1079,2186,1079,2186,2654,0
0.0896233320236206,0.10145241022109985,0.011829078197479248,0.022160813212394714,0.02282717637717724,4340,3500,4340,3500,2655,0
0.10960564762353897,0.12045476585626602,0.01084911823272705,0.018724260851740837,0.01916687563061714,4306,3696,4306,3696,2666,0
0.029985005035996437,0.029404841363430023,-0.0005801636725664139,0.012762069702148438,0.012820825912058353,4767,4002,4767,4002,2668,0
0.2042635977268219,0.2012769877910614,-0.002986609935760498,0.028223736211657524,0.028508834540843964,4933,3760,4933,3760,2682,0
0.0623817965388298,0.06577146798372269,0.0033896714448928833,0.01864776201546192,0.019200526177883148,4994,4114,4994,4114,2685,0
0.0536545105278492,0.05316368117928505,-0.000490829348564148,0.01817716471850872,0.018161438405513763,3337,3847,3337,3847,2686,0
0.04837166890501976,0.04675735905766487,-0.001614309847354889,0.017850417643785477,0.017572127282619476,5488,4215,5488,4215,2689,0
0.052033085376024246,0.05527641251683235,0.0032433271408081055,0.016948428004980087,0.017507847398519516,5959,4633,5959,4633,2693,0
0.09452316164970398,0.09810194373130798,0.003578782081604004,0.019193829968571663,0.019642168655991554,5543,4304,5543,4304,2695,0
0.12503661215305328,0.15057674050331116,0.025540128350257874,0.02081064134836197,0.022133424878120422,3374,3253,3374,3253,2697,0
0.2837194502353668,0.2788713574409485,-0.004848092794418335,0.035982903093099594,0.03531547263264656,1818,2781,1818,2781,2709,0
0.14445771276950836,0.12878981232643127,-0.015667900443077087,0.02854587882757187,0.02844816818833351,578,2114,578,2114,2743,0
0.14613330364227295,0.1474200338125229,0.001286730170249939,0.034730684012174606,0.03478601574897766,655,1117,655,1117,2798,0
0.27693971991539,0.26659560203552246,-0.010344117879867554,0.04244014248251915,0.042303744703531265,502,1518,502,1518,2843,0
0.2707516849040985,0.26955047249794006,-0.0012012124061584473,0.047552015632390976,0.04692670330405235,511,1232,511,1232,2865,0
0.3908982574939728,0.3776310682296753,-0.013267189264297485,0.0387982614338398,0.03818440064787865,2546,2564,2546,2564,2931,0
0.5781083106994629,0.5007466077804565,-0.07736170291900635,0.04636551812291145,0.047011133283376694,3244,3360,3244,3360,2936,0
0.2917170226573944,0.3241443932056427,0.03242737054824829,0.042321011424064636,0.04302387684583664,1197,2113,1197,2113,2998,0
0.23172372579574585,0.2843460738658905,0.05262234807014465,0.038691677153110504,0.04146679490804672,537,1759,537,1759,3009,0
0.11513958871364594,0.12002366781234741,0.004884079098701477,0.03053964488208294,0.031007613986730576,623,1896,623,1896,3043,0
0.09964213520288467,0.09947574138641357,-0.00016639381647109985,0.02832307294011116,0.028768448159098625,617,1752,617,1752,3086,0
0.09457895159721375,0.09468100965023041,0.0001020580530166626,0.02665247581899166,0.026960574090480804,829,1752,829,1752,3097,0
0.09967179596424103,0.09191534668207169,-0.007756449282169342,0.02340514212846756,0.022803151980042458,92,1078,92,1078,3141,0
0.3536231815814972,0.33366599678993225,-0.01995718479156494,0.0372631698846817,0.036567430943250656,4011,3371,4011,3371,3152,0
0.1452282816171646,0.13020016252994537,-0.015028119087219238,0.03199303522706032,0.030718432739377022,852,1846,852,1846,3153,0
0.14860808849334717,0.13947193324565887,-0.009136155247688293,0.03375585749745369,0.03424936160445213,948,2823,948,2823,3287,0
0.09797748923301697,0.09621500223875046,-0.00176248699426651,0.025759277865290642,0.025751348584890366,779,2357,779,2357,3308,0
0.12180931121110916,0.10529918223619461,-0.01651012897491455,0.028706062585115433,0.02886880189180374,610,3274,610,3274,3341,0
0.08232453465461731,0.08351579308509827,0.001191258430480957,0.023477476090192795,0.023550167679786682,725,2040,725,2040,3453,0
0.06202137470245361,0.06418351829051971,0.002162143588066101,0.020072873681783676,0.01969829760491848,1261,3218,1261,3218,3476,0
0.07403016090393066,0.07617227733135223,0.00214211642742157,0.023867996409535408,0.023620162159204483,1200,2647,1200,2647,3487,0
0.08766639977693558,0.08775198459625244,8.558481931686401e-05,0.02564309723675251,0.025051631033420563,853,2359,853,2359,3527,0
0.10160587728023529,0.10300875455141068,0.0014028772711753845,0.028419777750968933,0.028322162106633186,1216,3441,1216,3441,3528,0
0.07293722778558731,0.07353240251541138,0.0005951747298240662,0.02071460522711277,0.020593460649251938,626,1566,626,1566,3539,0
0.15021441876888275,0.1396884173154831,-0.010526001453399658,0.03430706635117531,0.03402925282716751,368,2196,368,2196,3547,0
0.14262215793132782,0.1372542828321457,-0.005367875099182129,0.029723815619945526,0.029608555138111115,347,1179,347,1179,3548,0
0.08752165734767914,0.0878467932343483,0.00032513588666915894,0.02255195938050747,0.02260267361998558,614,2608,614,2608,3557,0
